2,8.01819E+17,Thu Nov 24 16:07:03 +0000 2016,JohnGrisham,Super_Tommo,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
2,8.01818E+17,Thu Nov 24 16:02:07 +0000 2016,JohnGrisham,WendyCartmell,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
2,8.01817E+17,Thu Nov 24 15:58:10 +0000 2016,JohnGrisham,davepperlmutter,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
4,8.01814E+17,Thu Nov 24 15:46:42 +0000 2016,JohnGrisham,RTH55555,@JohnGrisham REALLY enjoyed the book. Maybe the best book yet. Congrats on a really great read.
2,8.01809E+17,Thu Nov 24 15:24:45 +0000 2016,JohnGrisham,darla_hogan,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
2,8.01808E+17,Thu Nov 24 15:21:27 +0000 2016,JohnGrisham,DougJCooper,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
2,8.01804E+17,Thu Nov 24 15:07:39 +0000 2016,JohnGrisham,TheMysteryLadie,RT @roylmurry425: &gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
2,8.01804E+17,Thu Nov 24 15:06:49 +0000 2016,JohnGrisham,roylmurry425,&gt; @JohnGrisham’s The Confession #Bookreview https://t.co/S24JnWhZMd https://t.co/aNPnSiHfzJ
4,8.01782E+17,Thu Nov 24 13:40:09 +0000 2016,JohnGrisham,tuxchewfonz,@JohnGrisham Just finished The Whistler this AM.  I am a HUGE fan of yours and once again you didn't disappoint
4,8.01764E+17,Thu Nov 24 12:26:16 +0000 2016,JohnGrisham,goldinketc,#nowreading an intriguing page turner by @JohnGrisham https://t.co/iRoUsmurdr
2,8.01748E+17,Thu Nov 24 11:23:50 +0000 2016,JohnGrisham,splitpersona91,@Tobey_chi @jessicabfry @JohnGrisham haven't tried any ohers as yet. But I'll keep an eye out for a copy
2,8.01748E+17,Thu Nov 24 11:23:23 +0000 2016,JohnGrisham,fatimabi_kadar,Reading The Chamber by @JohnGrisham
4,8.01731E+17,Thu Nov 24 10:17:00 +0000 2016,JohnGrisham,MyDistUniverse,Listening to The Whistler by @JohnGrisham On @audible_com . So far I really like it a lot!
4,8.01712E+17,Thu Nov 24 08:58:12 +0000 2016,JohnGrisham,OanaLR,Cannot enter because i'm based in the UK but happy to retweet for any @JohnGrisham fans in US and Canada https://t.co/P0iZswpB9Z
4,8.01693E+17,Thu Nov 24 07:42:57 +0000 2016,JohnGrisham,ASykes67,@JohnGrisham just reading Sycamore Row. Brilliant to catch up on previous characters. Hope there's more to come.
4,8.01693E+17,Thu Nov 24 07:42:57 +0000 2016,JohnGrisham,ASykes67,@JohnGrisham just reading Sycamore Row. Brilliant to catch up on previous characters. Hope there's more to come.
0,8.01681E+17,Thu Nov 24 06:56:08 +0000 2016,JohnGrisham,RiverWtf,"When @JohnGrisham had an emotional outburst about politics live w Diane Rehm on @NPR &lt; 

Idk how you disrespect an 80yr old woman.."
4,8.01668E+17,Thu Nov 24 06:04:15 +0000 2016,JohnGrisham,MichelleBovee,"reading 'The Whistler' by @JohnGrisham 
#lovemesomegrisham"
4,8.01665E+17,Thu Nov 24 05:53:01 +0000 2016,JohnGrisham,interdet2000,"@JohnGrisham ""Playing for pizza"": very nice to discover Italy through american eyes!  A different Grisham for an amazing reading."
2,8.01657E+17,Thu Nov 24 05:23:12 +0000 2016,JohnGrisham,BookendsMY,RT @dzu_im: @JohnGrisham @jeffreyarcher01 @02thief @khaledhosseini @paulocoelho https://t.co/GSDQpDyjwa
2,8.01657E+17,Thu Nov 24 05:21:24 +0000 2016,JohnGrisham,dzu_im,@JohnGrisham @jeffreyarcher01 @02thief @khaledhosseini @paulocoelho https://t.co/GSDQpDyjwa
4,8.01597E+17,Thu Nov 24 01:24:21 +0000 2016,JohnGrisham,kimbrlyflorence,Pro tip for those who drive a ton like we do: get @audible_com and listen to old @JohnGrisham novels. Time will fly.
